Entity,Code,Year,Per capita CO₂ emissions (tonnes per capita)
Tajikistan,TJK,2017,0.640192117
Tanzania,TZA,2017,0.248307848
Thailand,THA,2017,4.792171235
Timor,TLS,2017,0.426384525
Togo,TGO,2017,0.383593389
Tonga,TON,2017,1.319199408
Trinidad and Tobago,TTO,2017,29.72496084
Tunisia,TUN,2017,2.439632238
Turkey,TUR,2017,5.547056348
Turkmenistan,TKM,2017,12.6261789
Tuvalu,TUV,2017,1.15748213
Uganda,UGA,2017,0.134914368
Ukraine,UKR,2017,4.79652018
United Arab Emirates,ARE,2017,24.65637052
United Kingdom,GBR,2017,5.812897782
United States,USA,2017,16.24094876
Uruguay,URY,2017,1.978835539
Uzbekistan,UZB,2017,3.102380403
Vanuatu,VUT,2017,0.656533825
Venezuela,VEN,2017,4.99006508
Vietnam,VNM,2017,2.081064308
World,OWID_WRL,2017,4.789869769
Yemen,YEM,2017,0.671344171
Zambia,ZMB,2017,0.277647826
Zimbabwe,ZWE,2017,0.629024734
